"Title","Abstract","Text","Author","Category","Source"
"Increase in efficacy of cancer radiotherapy by combination with whole-body low dose irradiation .","PURPOSE : Design of cancer radiotherapy protocol to reduce radiation dose and increase treatment efficacy in Lewis lung cancer ( LLC ) model . METHODS : C57BL/6J mice subcutaneously implanted with LLC were treated by conventional radiotherapy ( 2Gy x 6 ) combined with LDWBI ( low dose whole-body irradiation ; the second , third , fifth and sixth local doses of 2Gy each substituted by LDWBI with 0.075Gy ) and/or gene therapy ( intratumor injection of pEgr-IL-18-B7.1 plasmid 24 h before the first and fourth local doses ) . Immunologic mechanisms were explored . RESULTS : Cancer control was most significantly improved in the group receiving local radiotherapy combined with LDWBI and gene therapy as shown by prolongation of mean survival time by 60.4 % , reduction in average tumor weight by 70.8 % , decrease in pulmonary metastasis by 66.9 % and decrease in intratumor angiogenesis by 64.8 % as compared to local radiotherapy alone ( p < 0.05 ) . These changes in tumor growth and progression were accompanied with up-regulation of host immunity manifested by stimulated NK ( natural killer ) and CTL ( cytotoxic T lymphocyte ) activity , IFN ( interferon)-gamma and TNF ( tumor necrosis factor)-alpha secretion , PKC ( protein kinase C)-theta activation and LAMP ( lysosomal associated membrane protein)-1 expression . CONCLUSION : Combination of conventional radiotherapy with LDWBI and gene transfer could reduce total radiation dose by 2/3 and at the same time improve treatment efficacy of cancer accompanied with up-regulated host anticancer immunity .","International journal of radiation biology Increase in efficacy of cancer radiotherapy by combination with whole-body low dose irradiation . PURPOSE : Design of cancer radiotherapy protocol to reduce radiation dose and increase treatment efficacy in Lewis lung cancer ( LLC ) model . METHODS : C57BL/6J mice subcutaneously implanted with LLC were treated by conventional radiotherapy ( 2Gy x 6 ) combined with LDWBI ( low dose whole-body irradiation ; the second , third , fifth and sixth local doses of 2Gy each substituted by LDWBI with 0.075Gy ) and/or gene therapy ( intratumor injection of pEgr-IL-18-B7.1 plasmid 24 h before the first and fourth local doses ) . Immunologic mechanisms were explored . RESULTS : Cancer control was most significantly improved in the group receiving local radiotherapy combined with LDWBI and gene therapy as shown by prolongation of mean survival time by 60.4 % , reduction in average tumor weight by 70.8 % , decrease in pulmonary metastasis by 66.9 % and decrease in intratumor angiogenesis by 64.8 % as compared to local radiotherapy alone ( p < 0.05 ) . These changes in tumor growth and progression were accompanied with up-regulation of host immunity manifested by stimulated NK ( natural killer ) and CTL ( cytotoxic T lymphocyte ) activity , IFN ( interferon)-gamma and TNF ( tumor necrosis factor)-alpha secretion , PKC ( protein kinase C)-theta activation and LAMP ( lysosomal associated membrane protein)-1 expression . CONCLUSION : Combination of conventional radiotherapy with LDWBI and gene transfer could reduce total radiation dose by 2/3 and at the same time improve treatment efficacy of cancer accompanied with up-regulated host anticancer immunity .","Shun'ichiro Jin, Shun'ichiro Liu, Shun'ichiro Wu, Shun'ichiro Pan","Mouse-Cancer","PubMed"
"Interleukin 18 preserves a perforin-dependent graft-versus-leukemia effect after allogeneic bone marrow transplantation .","We have recently shown that early administration of interleukin 18 ( IL-18 ) after bone marrow transplantation ( BMT ) attenuates acute graft-versus-host disease ( GVHD ) in a lethally irradiated parent into F1 ( B6-->B6D2F1 ) BMT model . In this study , we investigated whether IL-18 can maintain graft-versus-leukemia ( GVL ) effect in this context . B6D2F1 mice received transplants of T-cell-depleted (TCD ) bone marrow ( BM ) and splenic T cells from either syngeneic ( H2( b/d ) ) or allogeneic B6 ( H2( b ) ) donors . Recipient mice were treated with recombinant murine IL-18 or the control diluent . Initial studies demonstrated that IL-18 treatment did not affect the proliferative responses or the cytolytic effector functions of T cells after BMT. In subsequent experiments , animals also received host-type P815 mastocytoma cells at the time of BMT. All syngeneic BM transplant recipients died from leukemia by day 18 . The allogeneic BM transplant recipients effectively rejected their leukemia regardless of treatment and IL-18 significantly reduced GVHD-related mortality . Examination of the cytotoxic mechanisms with perforin-deficient donor T cells demonstrated that perforin is critical for the GVL effect . Taken together these data demonstrate that IL-18 can attenuate acute GVHD without impairing the in vitro cytolytic function or the in vivo GVL activity after allogeneic BMT.","Blood Interleukin 18 preserves a perforin-dependent graft-versus-leukemia effect after allogeneic bone marrow transplantation . We have recently shown that early administration of interleukin 18 ( IL-18 ) after bone marrow transplantation ( BMT ) attenuates acute graft-versus-host disease ( GVHD ) in a lethally irradiated parent into F1 ( B6-->B6D2F1 ) BMT model . In this study , we investigated whether IL-18 can maintain graft-versus-leukemia ( GVL ) effect in this context . B6D2F1 mice received transplants of T-cell-depleted (TCD ) bone marrow ( BM ) and splenic T cells from either syngeneic ( H2( b/d ) ) or allogeneic B6 ( H2( b ) ) donors . Recipient mice were treated with recombinant murine IL-18 or the control diluent . Initial studies demonstrated that IL-18 treatment did not affect the proliferative responses or the cytolytic effector functions of T cells after BMT. In subsequent experiments , animals also received host-type P815 mastocytoma cells at the time of BMT. All syngeneic BM transplant recipients died from leukemia by day 18 . The allogeneic BM transplant recipients effectively rejected their leukemia regardless of treatment and IL-18 significantly reduced GVHD-related mortality . Examination of the cytotoxic mechanisms with perforin-deficient donor T cells demonstrated that perforin is critical for the GVL effect . Taken together these data demonstrate that IL-18 can attenuate acute GVHD without impairing the in vitro cytolytic function or the in vivo GVL activity after allogeneic BMT.","Shun'ichiro Ferrara, Shun'ichiro Duffner, Shun'ichiro Teshima, Shun'ichiro Reddy, Shun'ichiro Hildebrandt, Shun'ichiro Cooke, Shun'ichiro Maeda","Mouse-Cancer","PubMed"
"Intensification of antitumor effect by T helper 1-dominant adoptive immunogene therapy for advanced orthotopic colon cancer .","PURPOSE : T helper ( Th ) 1/Th2 balance , controlled by Th1 or Th2 cells producing cytokines , plays important roles in antitumor immunity . Interleukin-18 ( IL-18 ) can act together with IL-12 in promoting the generation of IFN-gamma producing Th1 cells . The goal of this study was to determine whether cytotoxic T lymphocyte ( CTL ) secreted in a murine IL-18-induced Th1-dominant state inhibited the development of primary tumors and synchronous liver metastases in orthotopic colon cancer model . EXPERIMENTAL DESIGN : Murine IL-18 gene was transduced into activated T lymphocytes by an adenovirus vector encoding IL-18 ( AdIL-18 ) liposome complex method . Efficacy of adoptive immunogene therapy using AdIL-18 with or without IL-12 was tested in advanced orthotopic xenograft of murine colon cancer . To elucidate the mechanism responsible for the adoptive immunogene therapy , serum IL-4 , IL-6 , IFN-gamma , and tumor necrosis factor alpha production in Th1/Th2 cytokine balance and quantification of tumor vascularity were investigated . RESULTS : By a modified method of adenoviral gene transduction , T lymphocytes achieved efficient IL-18 production without cell toxicity . Against orthotopic colon cancer , when combined with low dose of recombinant ( r ) IL-12 ( AdIL-18-CTL/rIL-12 ) , the therapeutic efficacy showed much smaller tumors with no liver metastases and no disseminated tumors . There was a significant difference in the volume of primary tumors and the number of liver metastases compared with the group treated with AdIL-18-CTL alone or other group ( P < 0.01 ) . In addition , the median survival time of the group treated with AdIL-18-CTL was 53.7 +/ - 5.8 days and that of AdIL-18-CTL/rIL-12 was 78.4 +/ - 6.1 days , which was also a significant difference ( P < 0.01 ) . These antitumor mechanisms were involved with Th1-dominant response in serum Th1/Th2 cytokine balance and suppression of neovascularization at primary tumor site . CONCLUSION : These data suggest that a strategy of Th1/Th2 balance-based adoptive immunogene therapy might be useful for advanced cancer patients .","Clinical cancer research : an official journal of the American Association for Cancer Research Intensification of antitumor effect by T helper 1-dominant adoptive immunogene therapy for advanced orthotopic colon cancer . PURPOSE : T helper ( Th ) 1/Th2 balance , controlled by Th1 or Th2 cells producing cytokines , plays important roles in antitumor immunity . Interleukin-18 ( IL-18 ) can act together with IL-12 in promoting the generation of IFN-gamma producing Th1 cells . The goal of this study was to determine whether cytotoxic T lymphocyte ( CTL ) secreted in a murine IL-18-induced Th1-dominant state inhibited the development of primary tumors and synchronous liver metastases in orthotopic colon cancer model . EXPERIMENTAL DESIGN : Murine IL-18 gene was transduced into activated T lymphocytes by an adenovirus vector encoding IL-18 ( AdIL-18 ) liposome complex method . Efficacy of adoptive immunogene therapy using AdIL-18 with or without IL-12 was tested in advanced orthotopic xenograft of murine colon cancer . To elucidate the mechanism responsible for the adoptive immunogene therapy , serum IL-4 , IL-6 , IFN-gamma , and tumor necrosis factor alpha production in Th1/Th2 cytokine balance and quantification of tumor vascularity were investigated . RESULTS : By a modified method of adenoviral gene transduction , T lymphocytes achieved efficient IL-18 production without cell toxicity . Against orthotopic colon cancer , when combined with low dose of recombinant ( r ) IL-12 ( AdIL-18-CTL/rIL-12 ) , the therapeutic efficacy showed much smaller tumors with no liver metastases and no disseminated tumors . There was a significant difference in the volume of primary tumors and the number of liver metastases compared with the group treated with AdIL-18-CTL alone or other group ( P < 0.01 ) . In addition , the median survival time of the group treated with AdIL-18-CTL was 53.7 +/ - 5.8 days and that of AdIL-18-CTL/rIL-12 was 78.4 +/ - 6.1 days , which was also a significant difference ( P < 0.01 ) . These antitumor mechanisms were involved with Th1-dominant response in serum Th1/Th2 cytokine balance and suppression of neovascularization at primary tumor site . CONCLUSION : These data suggest that a strategy of Th1/Th2 balance-based adoptive immunogene therapy might be useful for advanced cancer patients .","Shun'ichiro Iwahashi, Shun'ichiro Nakamori, Shun'ichiro Ueda, Shun'ichiro Yamaue, Shun'ichiro Nakamura, Shun'ichiro Zhang","Mouse-Cancer","PubMed"
"[ The pathogenesis and the development mechanism of Mycobacterium avium complex infection ]","Mycobacterium avium complex ( MAC ) causes respiratory tract infections and develops granulomatous lesions in the alveolar areas and bronchioles in humans . In contrast with the above , the intestinal tract is the primary infection site of immunocompromised hosts , such as patients with acquired immune deficiency syndrome ( AIDS ) , or animals , such as pigs . Recent studies have revealed that hosts with hereditary dysfunction of mediators in the Th-1 cascade as well as hosts with a high titer of auto-antibodies against interferon-gamma are susceptible to MAC , and such hosts facilitate dissemination of MAC. However , their disseminated lesions are formed mainly in the lung or in soft tissues , and the mechanism of development of MAC in such host may be different from that of AIDS-related MAC infection . In this review , we specifically discuss the development mechanism of disseminated MAC disease in recently-identified several pathological conditions .","Kekkaku : [Tuberculosis ] [ The pathogenesis and the development mechanism of Mycobacterium avium complex infection ] Mycobacterium avium complex ( MAC ) causes respiratory tract infections and develops granulomatous lesions in the alveolar areas and bronchioles in humans . In contrast with the above , the intestinal tract is the primary infection site of immunocompromised hosts , such as patients with acquired immune deficiency syndrome ( AIDS ) , or animals , such as pigs . Recent studies have revealed that hosts with hereditary dysfunction of mediators in the Th-1 cascade as well as hosts with a high titer of auto-antibodies against interferon-gamma are susceptible to MAC , and such hosts facilitate dissemination of MAC. However , their disseminated lesions are formed mainly in the lung or in soft tissues , and the mechanism of development of MAC in such host may be different from that of AIDS-related MAC infection . In this review , we specifically discuss the development mechanism of disseminated MAC disease in recently-identified several pathological conditions .","Tsuneya Higa, Tsuneya Hibiya, Tsuneya Fujita, Tsuneya Tateyama","Human-Aids","PubMed"
"Interruption of antiretroviral therapy initiated during primary HIV-1 infection : impact of a therapeutic vaccination strategy combined with interleukin ( IL)-2 compared with IL-2 alone in the ANRS 095 Randomized Study .","HIV-specific T cell responses play a critical role in the control of infection . We evaluated the impact of immune-based interventions in patients first treated during primary HIV-1 infection ( PHI ) . Forty-three patients were randomized within three groups , to receive either interleukin-2 ( IL-2 group ) , or boosts of ALVAC-HIV (vCP1433 ) and LIPO-6T followed by interleukin-2 ( Vac-IL2 group ) , compared with no immune intervention ( control group ) , and were monitored for T cell responses . Impact of strategies on viral replication was subsequently assessed during long-term treatment interruption . HIV-specific CD4( + ) T cell responses did not change during the study period in immunized patients relative to controls , and vaccination had only a transient effect on interferon-gamma-producing CD8 responses . Viral rebound after treatment interruption was similar in immunized patients and controls . Forty percent of patients had HIV RNA values <10,000 copies/ml 12 weeks after interruption . The cumulative time off treatment represented almost half the total follow-up period . Immunological and virological status during PHI and HIV DNA load at interruption were predictive of the level of viral rebound after treatment interruption , whereas HIV RNA level during PHI and HIV DNA level at interruption were predictive of the time off treatment . Treatment interruption is safe in patients treated early after primary HIV infection . On the basis of this pilot study , HIV immunizations and interleukin-2 appear to have no supplementary benefit .","AIDS research and human retroviruses Interruption of antiretroviral therapy initiated during primary HIV-1 infection : impact of a therapeutic vaccination strategy combined with interleukin ( IL)-2 compared with IL-2 alone in the ANRS 095 Randomized Study . HIV-specific T cell responses play a critical role in the control of infection . We evaluated the impact of immune-based interventions in patients first treated during primary HIV-1 infection ( PHI ) . Forty-three patients were randomized within three groups , to receive either interleukin-2 ( IL-2 group ) , or boosts of ALVAC-HIV (vCP1433 ) and LIPO-6T followed by interleukin-2 ( Vac-IL2 group ) , compared with no immune intervention ( control group ) , and were monitored for T cell responses . Impact of strategies on viral replication was subsequently assessed during long-term treatment interruption . HIV-specific CD4( + ) T cell responses did not change during the study period in immunized patients relative to controls , and vaccination had only a transient effect on interferon-gamma-producing CD8 responses . Viral rebound after treatment interruption was similar in immunized patients and controls . Forty percent of patients had HIV RNA values <10,000 copies/ml 12 weeks after interruption . The cumulative time off treatment represented almost half the total follow-up period . Immunological and virological status during PHI and HIV DNA load at interruption were predictive of the level of viral rebound after treatment interruption , whereas HIV RNA level during PHI and HIV DNA level at interruption were predictive of the time off treatment . Treatment interruption is safe in patients treated early after primary HIV infection . On the basis of this pilot study , HIV immunizations and interleukin-2 appear to have no supplementary benefit .","Tsuneya Aboulker, Tsuneya Hendel-Chavez, Tsuneya MeiffrÃ?Â©dy, Tsuneya Delfraissy, Tsuneya Venet, Tsuneya Rouzioux, Tsuneya Beumont-Mauviel, Tsuneya Taoufik, Tsuneya El Habib, Tsuneya LÃ?Â©vy, Tsuneya Goujard, Tsuneya Marcellin, Tsuneya Burgard","Human-Aids","PubMed"
"Phase 2 study of an HIV-1 canarypox vaccine (vCP1452 ) alone and in combination with rgp120 : negative results fail to trigger a phase 3 correlates trial .","BACKGROUND : A goal of T-cell HIV vaccines is to define the correlation between a vaccine-induced immune response and protection from HIV infection . We conducted a phase 2 trial to determine if a canarypox vaccine candidate (vCP1452 ) administered with rgp120 subunit protein would qualify  for a trial to define a correlate of efficacy . METHODS : A total of 330 healthy volunteers were enrolled into 4 groups : 120 received vCP1452 alone ( 0 , 1 , 3 , and 6 months ) , 120 received vCP1452 with 2 different regimens of rgp120 coadministration , and 90 received placebo . HIV-specific antibody responses were measured by enzyme-linked immunoassay ( ELISA ) and neutralizing activity . T-cell responses were measured by chromium release and interferon-gamma ( IFNgamma ) enzyme-linked immunospot ( ELISpot ) assay . RESULTS : Significant neutralizing antibody responses to the HIV MN strain were detected in all vaccine groups , with net responses ranging from 57 % ( 95 % confidence interval [CI] : 40 % to 71 % ) to 94 % ( 95 % CI : 85 % to 99 % ) . Net cumulative HIV-specific CD8 IFNgamma ELISpot assay responses were 13 % ( 95 % CI : -1 % to 26 % ) for recipients of vCP1452 alone and 16 % ( 95 % CI : 2 % to 29 % ) for recipients of vCP1452 plus rgp120 . CONCLUSIONS : Overall , the HIV-specific CD8 cytotoxic T lymphocyte ( CTL ) response was not sufficient to qualify the regimen for a subsequent trial designed to detect an immune correlate of protection requiring a minimum CD8 CTL frequency of 30 % .","Journal of acquired immune deficiency syndromes ( 1999 ) Phase 2 study of an HIV-1 canarypox vaccine (vCP1452 ) alone and in combination with rgp120 : negative results fail to trigger a phase 3 correlates trial . BACKGROUND : A goal of T-cell HIV vaccines is to define the correlation between a vaccine-induced immune response and protection from HIV infection . We conducted a phase 2 trial to determine if a canarypox vaccine candidate (vCP1452 ) administered with rgp120 subunit protein would qualify  for a trial to define a correlate of efficacy . METHODS : A total of 330 healthy volunteers were enrolled into 4 groups : 120 received vCP1452 alone ( 0 , 1 , 3 , and 6 months ) , 120 received vCP1452 with 2 different regimens of rgp120 coadministration , and 90 received placebo . HIV-specific antibody responses were measured by enzyme-linked immunoassay ( ELISA ) and neutralizing activity . T-cell responses were measured by chromium release and interferon-gamma ( IFNgamma ) enzyme-linked immunospot ( ELISpot ) assay . RESULTS : Significant neutralizing antibody responses to the HIV MN strain were detected in all vaccine groups , with net responses ranging from 57 % ( 95 % confidence interval [CI] : 40 % to 71 % ) to 94 % ( 95 % CI : 85 % to 99 % ) . Net cumulative HIV-specific CD8 IFNgamma ELISpot assay responses were 13 % ( 95 % CI : -1 % to 26 % ) for recipients of vCP1452 alone and 16 % ( 95 % CI : 2 % to 29 % ) for recipients of vCP1452 plus rgp120 . CONCLUSIONS : Overall , the HIV-specific CD8 cytotoxic T lymphocyte ( CTL ) response was not sufficient to qualify the regimen for a subsequent trial designed to detect an immune correlate of protection requiring a minimum CD8 CTL frequency of 30 % .","Tsuneya Tomaras, Tsuneya McElrath, Tsuneya Mulligan, Tsuneya Ferrari, Tsuneya Baglyos, Tsuneya Keefer, Tsuneya Russell, Tsuneya Graham, Tsuneya Self, Tsuneya Weinhold, Tsuneya Corey, Tsuneya Gurunathan, Tsuneya Harro, Tsuneya Horton, Tsuneya Koblin, Tsuneya Buchbinder, Tsuneya Frey, Tsuneya Baden, Tsuneya Montefiori, Tsuneya Blattner","Human-Aids","PubMed"
"Cytokine expression in the colonic mucosa of human immunodeficiency virus-infected individuals before and during 9 months of antiretroviral therapy .","High-level human immunodeficiency virus ( HIV ) replication and the rapid breakdown of the mucosal immune system are the hallmarks of HIV infection in the gut . Cytokine dysregulation may be related to both phenomena . Using real-time PCR we quantified the colonic mucosal mRNA expression of selected proinflammatory and regulatory ( gamma interferon [IFN-gamma] , tumor necrosis factor alpha [TNF-alpha] , and interleukin-2 [IL-2] , IL-4 , IL-6 , and IL-10 ) and HIV-inhibitory ( IL-16 , CCL3 , and CCL5 ) cytokines for 10 HIV-infected patients before and during 9 months of highly active antiretroviral therapy ( HAART ) . HIV RNA and T-cell dynamics were measured in the colonic mucosa and the blood . Seven HIV-negative individuals served as controls . The mucosal mRNA expression of TNF-alpha , IFN-gamma , IL-4 , IL-6 , and IL-10 was significantly higher in HIV-infected patients than in control patients and remained elevated during 9 months of HAART despite the decline in blood and mucosal HIV RNA levels and an increase in the level of CD4( + ) T lymphocytes . The mRNA levels of CCL3 and CCL5 , both of which were elevated before treatment , returned to nearly normal during therapy . Despite reductions in levels of mucosal HIV RNA and the restoration of mucosal CD4( + ) T lymphocytes , antiretroviral therapy failed to restore the normal colonic immunologic environment .","Antimicrobial agents and chemotherapy Cytokine expression in the colonic mucosa of human immunodeficiency virus-infected individuals before and during 9 months of antiretroviral therapy . High-level human immunodeficiency virus ( HIV ) replication and the rapid breakdown of the mucosal immune system are the hallmarks of HIV infection in the gut . Cytokine dysregulation may be related to both phenomena . Using real-time PCR we quantified the colonic mucosal mRNA expression of selected proinflammatory and regulatory ( gamma interferon [IFN-gamma] , tumor necrosis factor alpha [TNF-alpha] , and interleukin-2 [IL-2] , IL-4 , IL-6 , and IL-10 ) and HIV-inhibitory ( IL-16 , CCL3 , and CCL5 ) cytokines for 10 HIV-infected patients before and during 9 months of highly active antiretroviral therapy ( HAART ) . HIV RNA and T-cell dynamics were measured in the colonic mucosa and the blood . Seven HIV-negative individuals served as controls . The mucosal mRNA expression of TNF-alpha , IFN-gamma , IL-4 , IL-6 , and IL-10 was significantly higher in HIV-infected patients than in control patients and remained elevated during 9 months of HAART despite the decline in blood and mucosal HIV RNA levels and an increase in the level of CD4( + ) T lymphocytes . The mRNA levels of CCL3 and CCL5 , both of which were elevated before treatment , returned to nearly normal during therapy . Despite reductions in levels of mucosal HIV RNA and the restoration of mucosal CD4( + ) T lymphocytes , antiretroviral therapy failed to restore the normal colonic immunologic environment .","Tsuneya ArastÃ?Â©h, Tsuneya Engelmann, Tsuneya Bode, Tsuneya Zeitz, Tsuneya Loddenkemper, Tsuneya Stocker, Tsuneya Epple, Tsuneya Schmidt, Tsuneya Zippel, Tsuneya Ullrich, Tsuneya Schulbin","Human-Aids","PubMed"
"Mucosal Neisseria gonorrhoeae coinfection during HIV acquisition is associated with enhanced systemic HIV-specific CD8 T-cell responses .","BACKGROUND : The host immune response against mucosally acquired pathogens may be influenced by the mucosal immune milieu during acquisition . As Neisseria gonorrhoeae can impair dendritic cell and T-cell immune function , we hypothesized that coinfection during HIV acquisition would impair subsequent systemic T-cell responses . METHODS : Monthly screening for sexually transmitted infections was performed in high risk , HIV seronegative Kenyan female sex workers as part of an HIV prevention trial . Early HIV-specific CD8 T-cell responses and subsequent HIV viral load set point were assayed in participants acquiring HIV , and were correlated with the presence of prior genital infections during HIV acquisition . RESULTS : Thirty-five participants acquired HIV during follow-up , and 16 out of 35 ( 46 % ) had a classical sexually transmitted infection at the time of acquisition . N. gonorrhoeae coinfection was present during HIV acquisition in 6 out of 35 ( 17 % ) , and was associated with an increased breadth and magnitude of systemic HIV-specific CD8 T-cell responses , using both interferon-gamma gamma and MIP-1 beta as an output . No other genital infections were associated with differences in HIV-specific CD8 T-cell response , and neither N. gonorrhoeae nor other genital infections were associated with differences in HIV plasma viral load at set point . CONCLUSION : Unexpectedly , genital N. gonorrhoeae infection during heterosexual HIV acquisition was associated with substantially enhanced HIV-specific CD8 T-cell responses , although not with differences in HIV viral load set point . This may have implications for the development of mucosal HIV vaccines and adjuvants .","AIDS ( London , England ) Mucosal Neisseria gonorrhoeae coinfection during HIV acquisition is associated with enhanced systemic HIV-specific CD8 T-cell responses . BACKGROUND : The host immune response against mucosally acquired pathogens may be influenced by the mucosal immune milieu during acquisition . As Neisseria gonorrhoeae can impair dendritic cell and T-cell immune function , we hypothesized that coinfection during HIV acquisition would impair subsequent systemic T-cell responses . METHODS : Monthly screening for sexually transmitted infections was performed in high risk , HIV seronegative Kenyan female sex workers as part of an HIV prevention trial . Early HIV-specific CD8 T-cell responses and subsequent HIV viral load set point were assayed in participants acquiring HIV , and were correlated with the presence of prior genital infections during HIV acquisition . RESULTS : Thirty-five participants acquired HIV during follow-up , and 16 out of 35 ( 46 % ) had a classical sexually transmitted infection at the time of acquisition . N. gonorrhoeae coinfection was present during HIV acquisition in 6 out of 35 ( 17 % ) , and was associated with an increased breadth and magnitude of systemic HIV-specific CD8 T-cell responses , using both interferon-gamma gamma and MIP-1 beta as an output . No other genital infections were associated with differences in HIV-specific CD8 T-cell response , and neither N. gonorrhoeae nor other genital infections were associated with differences in HIV plasma viral load at set point . CONCLUSION : Unexpectedly , genital N. gonorrhoeae infection during heterosexual HIV acquisition was associated with substantially enhanced HIV-specific CD8 T-cell responses , although not with differences in HIV viral load set point . This may have implications for the development of mucosal HIV vaccines and adjuvants .","Tsuneya Bwayo, Tsuneya Rebbapragada, Tsuneya MacDonald, Tsuneya Dobson-Belaire, Tsuneya Sheung, Tsuneya Shin, Tsuneya Gray-Owen, Tsuneya Moses, Tsuneya Ngugi, Tsuneya Kaul, Tsuneya Kimani","Human-Aids","PubMed"
"[Comparison of different methods of DNA extraction from blood to detect fungal DNA by PCR]","Comparison of different methods of DNA extraction from blood to detect fungal DNA by PCR. Invasive fungal infections ( IFI ) are associated with high mortality by reaching levels of 50 % , and also with a significant failure in antifungical treatments . This fact mostly obeys to difficulties in obtaining a fast and accurate mycologic diagnosis due to the low sensitivity of conventional methods , mainly in neutropenic and AIDS patients . Various methods based on fungal DNA study are currently being used for the diagnosis of mycotic infections . We herein evaluated two procedures of extraction and purification of fungal DNA in blood for their use in PCR detection . Both of them showed equal efficiency in obtaining high performance DNA with universal primers ITS land ITS 4 as target .","Revista Argentina de microbiologÃ?Â­a [Comparison of different methods of DNA extraction from blood to detect fungal DNA by PCR] Comparison of different methods of DNA extraction from blood to detect fungal DNA by PCR. Invasive fungal infections ( IFI ) are associated with high mortality by reaching levels of 50 % , and also with a significant failure in antifungical treatments . This fact mostly obeys to difficulties in obtaining a fast and accurate mycologic diagnosis due to the low sensitivity of conventional methods , mainly in neutropenic and AIDS patients . Various methods based on fungal DNA study are currently being used for the diagnosis of mycotic infections . We herein evaluated two procedures of extraction and purification of fungal DNA in blood for their use in PCR detection . Both of them showed equal efficiency in obtaining high performance DNA with universal primers ITS land ITS 4 as target .","Tsuneya Mujica, Tsuneya DurÃ?Â¡n, Tsuneya Jewtuchowicz, Tsuneya Finquelievich, Tsuneya Iovannitti","Human-Aids","PubMed"
"Immune responses to abacavir in antigen-presenting cells from hypersensitive patients .","OBJECTIVES : A potentially life-threatening hypersensitive reaction accompanies the use of HIV nucleoside analogue abacavir ( ABC ) in 4-8 % of Caucasian individuals . HLA-B*5701 and Hsp70 493T alleles have been shown to predict susceptibility to this hypersensitivity . DESIGN AND METHODS : This study was undertaken to provide a mechanistic understanding of the highly significant genetic association of HLA Class I and Hsp70 alleles with ABC hypersensitivity . RESULTS : In this study an ABC-induced localization of intracellular HSP70 to endosomal vesicles of antigen-presenting cells was demonstrated . This ABC-stimulated redistribution of endogenous HSP70 was substantially higher in the genetically homogenous HLA-B*5701 , Hsp70 493T ABC-hypersensitive individuals and ABC-naive individuals in comparison with the heterogeneous tolerant patients ( P = 0.023 ) . Increased expression of HSP70 was also detected in the hypersensitive group as measured by flow cytometry ( P = 0.032 ) . Blocking of HSP70 and HSP70 cell surface receptors CD14 and TLR2 abrogated ABC-stimulated HSP70 redistribution in sensitized individuals to basal levels ( P < 0.004 ) . In addition , the use of TcRalphabeta and HLA-B57/58 antibodies also ablated the expression of HSP70 . Cells expressing the activation markers CD40 were increased after ABC stimulation in the hypersensitive patients ( P = 0.006 ) . ABC-stimulated interferon-gamma levels were higher in hypersensitive patients in comparison with ABC-tolerant individuals with a mean of 123.54 versus 0 pg/ml ( P = 0.001 ) . CONCLUSION : The present data indicates that ABC stimulates an innate immune response and activates antigen-presenting cells via the endogenous HSP70-mediated Toll-like receptor pathway in genetically susceptible individuals potentially initiating the immuno-pathological hypersensitive response .","AIDS ( London , England ) Immune responses to abacavir in antigen-presenting cells from hypersensitive patients . OBJECTIVES : A potentially life-threatening hypersensitive reaction accompanies the use of HIV nucleoside analogue abacavir ( ABC ) in 4-8 % of Caucasian individuals . HLA-B*5701 and Hsp70 493T alleles have been shown to predict susceptibility to this hypersensitivity . DESIGN AND METHODS : This study was undertaken to provide a mechanistic understanding of the highly significant genetic association of HLA Class I and Hsp70 alleles with ABC hypersensitivity . RESULTS : In this study an ABC-induced localization of intracellular HSP70 to endosomal vesicles of antigen-presenting cells was demonstrated . This ABC-stimulated redistribution of endogenous HSP70 was substantially higher in the genetically homogenous HLA-B*5701 , Hsp70 493T ABC-hypersensitive individuals and ABC-naive individuals in comparison with the heterogeneous tolerant patients ( P = 0.023 ) . Increased expression of HSP70 was also detected in the hypersensitive group as measured by flow cytometry ( P = 0.032 ) . Blocking of HSP70 and HSP70 cell surface receptors CD14 and TLR2 abrogated ABC-stimulated HSP70 redistribution in sensitized individuals to basal levels ( P < 0.004 ) . In addition , the use of TcRalphabeta and HLA-B57/58 antibodies also ablated the expression of HSP70 . Cells expressing the activation markers CD40 were increased after ABC stimulation in the hypersensitive patients ( P = 0.006 ) . ABC-stimulated interferon-gamma levels were higher in hypersensitive patients in comparison with ABC-tolerant individuals with a mean of 123.54 versus 0 pg/ml ( P = 0.001 ) . CONCLUSION : The present data indicates that ABC stimulates an innate immune response and activates antigen-presenting cells via the endogenous HSP70-mediated Toll-like receptor pathway in genetically susceptible individuals potentially initiating the immuno-pathological hypersensitive response .","Tsuneya James, Tsuneya Purcell, Tsuneya Phillips, Tsuneya Mallal, Tsuneya Cameron, Tsuneya McCluskey, Tsuneya Landay, Tsuneya Almeida, Tsuneya Martin, Tsuneya Nolan","Human-Aids","PubMed"
