disease,frequency
infection,13764
SARS,6951
infections,5351
pneumonia,3016
diarrhea,2800
pandemic,2667
infectious diseases,2630
respiratory syndrome,1908
infectious disease,1821
fever,1815
death,1734
H1N1,1708
viral infection,1616
viral infections,1341
deaths,1214
acute respiratory syndrome,1165
respiratory syndrome coronavirus,1152
respiratory viruses,1120
inflammation,1065
gastroenteritis,1061
cancer,1043
respiratory infections,982
Infection,952
tumor,920
respiratory disease,896
cough,873
infectious bronchitis,828
respiratory syncytial virus,803
Respiratory Syndrome,735
RSV,702
FIP,702
CoVs,697
ARDS,678
respiratory tract infections,650
illness,647
encephalitis,619
COPD,617
diarrhoea,605
respiratory tract,581
hMPV,581
malaria,572
parainfluenza,556
virus infection,545
respiratory infection,525
ARI,520
respiratory illness,503
bronchiolitis,500
Respiratory Syndrome Coronavirus,500
Coronavirus,492
tuberculosis,490
MERS-CoV infection,482
TB,474
pneumoniae,470
exacerbations,468
hepatitis,454
diabetes,450
H7N9,444
demyelination,437
RBD,436
cattle,431
sepsis,418
Infections,403
toxicity,395
CAP,393
acute respiratory syndrome coronavirus,388
respiratory tract infection,362
SARS coronavirus,356
anxiety,351
enterovirus,347
coronavirus disease 2019,345
MERS,344
HCV,340
respiratory distress syndrome,336
viral diseases,330
wheezing,329
coronavirus infection,320
critically ill,316
HMPV,314
AIDS,311
shock,311
community-acquired pneumonia,310
P.,305
respiratory failure,302
coronavirus pneumonia,302
hepatitis B,299
Diarrhea,298
fibrosis,297
NDV,293
Pneumonia,292
virus (TGEV,285
PCV2,284
hypertension,283
respiratory viral infections,276
multiple sclerosis,269
dengue,269
herpes simplex,268
coronavirus disease,258
RSV infection,256
OC43,252
respiratory diseases,248
BRD,244
Pandemic,240
viremia,240
hepatitis C,239
stomatitis,239
astrovirus,235
tumors,232
influenza-like illness,231
human disease,229
Fever,226
WNV,221
necrosis,214
bacterial infection,211
encephalomyelitis,211
bacterial infections,211
TCM,210
AOM,208
ALI,207
hemorrhagic fever,205
depression,204
human diseases,203
otitis,203
cancers,202
feline infectious peritonitis,202
vomiting,201
ILI,199
chronic obstructive pulmonary disease,198
thrombocytopenia,196
weight loss,195
viral disease,190
PEDV infection,190
enteritis,189
URI,187
viral pneumonia,186
SARS-CoV-2 infection,184
dehydration,183
viral diarrhea,182
lymphopenia,181
CMV,179
A/H1N1,179
HCV infection,178
Infectious Disease,178
Ebola virus disease,178
pain,177
ARIs,177
autoimmunity,176
PRRSV infection,174
lung injury,172
acute lung injury,169
FCV,168
Staphylococcus aureus,167
co-infections,166
arthritis,166
tumor necrosis,166
febrile,163
bronchitis,161
