CELLULAR_COMPONENT,frequency
genome,1265
membrane,2208
C34,2
DNA,3794
3',107
beta-penetrenes,2
cell membrane,139
SIN,12
bilayer membranes,2
5',33
ribosomal,376
surface,1136
cell surface,668
dense-core vesicles,1
lysosomes,96
marker-containing,1
K.,6
long DNA,5
double-membraned cytoplasmic vesicles,1
vesicles,220
double-membraned vesicles,3
autophagosomal,5
autophagosome,55
autophagosome-like,2
double-membraned,1
membranous,19
yeast virus,1
Tendentiousness,1
oolong tea,1
Puer tea,1
single-stranded,47
hyaline membrane,11
N-linked oligosaccharides,15
N-linked,39
XL,3
endosomal,241
negative-strand,70
vacuole,34
PAS+,1
lentiviral envelope,1
intra-host SIV,1
envelope,716
N-terminal,164
abortus GroEL heat-shock,1
extracellular,23
cell envelope,7
antigenomes,1
caveolae,27
Rafts,2
pre-caveolae,1
rafts,101
vesicular stomatitis virus glycoprotein,5
microdomains,6
endoplasmic reticulum,460
N-glycan,5
nuclear,565
chromatin,97
VSV,62
caveolar coat,1
basolaterally,3
Epithelial caveolae,1
epithelial caveolae,1
Candida albicans,11
yeasts,34
junctions,57
fucA1,2
S.solfataricus extracts,1
nucleocapsid surface,1
anticodon stemâloopâ2-methylthio-N6-threonylcarbamoyladenosine,1
Coxiella,1
extracellular matrix,66
21,319
DNA antigen,1
membranes,393
ORF4a/b,3
PEDV,570
chromosome,48
DNA nucleotide,2
Membrane,170
Viral membrane,4
yeast genome,2
ribosomes,77
VV,27
Salmonella species,2
Cryptosporidium,277
Bovista plumbea,1
Salix lucida,1
Prunella vulgaris,3
Pseudotsuga menziesii,1
Pinus ponderosa,2
Alchemilla vulgaris,1
Legionella pneumophila,41
transmembrane,246
yeast-two-hybrid matrix,1
bubble-like,1
tympanic membrane,5
intracellular vesicles,11
intron,51
Supramolecular,1
extracellular thioredoxin-1,1
extracellular Trx1,1
HEXXH zinc,1
DNA Vaccines,11
intracellular membrane,19
double-membrane vesicles,64
outer mitochondrial membranes,1
spherules,16
outer mitochondrial membrane,4
mitochondrial ribosomal protein S7,1
Mitochondrial ribosomal protein S7,1
X,12
ribosome,3
ribosomal P-,2
ribosomal E,1
mitochondria,174
nuclear matrix,4
cryo-electron,45
previously-sequenced,1
chromosomal,44
