IMMATERIAL_ANATOMICAL_ENTITY,frequency
intracellular,997
tympanic,4
mucus,11
endotracheal,38
tubercle bacillus,1
intravenous,141
soil,18
lumen,66
ethanol-induced,1
intranasal,75
intrauterine,22
intravesicular,1
extra,62
Extracellular,11
extracellular,237
vesicle,20
spherule,5
lipid,33
intra-osseous,2
banaba extract,2
intraperitoneal,90
intramuscular,165
circular,20
cochlea,5
saliva,14
intracellular architecture of,2
Perivascular,2
perivascular,9
fetus,3
intramuscular needle injection,1
sclera,3
polar,22
scarlet,14
tuberizing,1
swellings,1
CNS,4
gallstone,1
intrapartum,3
vesicular stomatitis virus glycoprotein,6
globular,10
intracellular compartment,6
intra-alveolar,2
Intracellular,81
solids,10
LBM,2
Intraperitoneal,19
Danshen,1
hand,23
microbiota,70
intracellular Zn(2+,1
cochlear,4
intracellular calcium homeostasis,1
negative-pressure,29
intracellular compartments,13
quantum,4
exhaled,15
intravascular,47
BW,22
microsomal,2
intracellular cAMP stimulation,1
Macromolecular,1
s.c,19
i.m,2
minerals,6
needle-free,6
iron,23
tail,27
intracellular pathogens that,1
inseminations,1
intraocular,15
SL6,1
VLWM,1
intracellular cAMP production,1
i.p,11
sputum,19
intracerebral,47
intravenously,32
trans-cellular,1
excysted,1
veal,5
intraarticular,1
silica,9
intracellular double-stranded RNA (,1
syringe,6
Intramuscular,17
corticosteroid,33
membranous,22
neck-like,2
Lipid Nano-emulsions,1
subcutaneous,27
infection-dependent,2
intravenous (18)F-FDG injections,1
intracellular vesicle trafficking,1
needle,7
midline,1
intratracheal,48
3â²-proximal,1
sublingual,21
parenteral,29
nasal,2
vesicular stomatitis virus,17
paracellular,9
microbiome,15
spherules,24
invaginations,1
stratum corneum (SC),1
depot,3
powder,3
intravenous methylprednisolone.,1
Intravenous,10
aneurysm,1
intra-muscular,1
Faecal,1
selective-plane,1
cinnamon,1
extract,5
Zn,12
Bruch,1
eosinophilic,24
cecal,4
intradermal,3
FAR,1
cuprizone,2
intracellular virus titers,1
EVD,71
Francisella,9
silver,27
milk,42
feed,24
sewage,30
microneedles,1
nephron,2
erythematous,3
neonatal,3
macronutrient,1
lipid droplets,1
vitreous cavity,2
periocular,1
molar,6
intracytoplasmic,9
intracellular HBV DNAs in HBV WT-,1
intracellular TNF-Î± staining,1
xiphoid,1
extra cellular signal-regulated kinase,1
Intracellular Nucleotide,1
intracellular nucleotide,1
Vitreous,1
Microbiota,5
aortocoronary,1
Intracellular Mono-ADP-Ribosylation in,1
Intracellular adenosine diphosphate (ADP)-ribosylation,1
Intracellular KSHV,1
intracellular KSHV trafficking,1
intracellular filamentous cytoskeletal,1
TCMs,3
micellar surface,1
sexually-transmitted,1
"intracellular filovirus receptor, Niemann-Pick C1 (",1
transtracheal,1
avascular,15
mucociliary,3
intracellular organelle.,1
coccidium,1
intracellular mycobacterial replication,1
neurovascular,4
endotoxin-induced,1
passageways,3
Triaditis,1
fungus,7
subcapsular,3
myocardial,4
secoiridoid,3
intracellular pathogens,4
intracellular organelle during,1
non-fracture,1
intratonsillar,2
interstitial,8
intratumoral,2
Gut,6
cellar,1
i.o,1
intracellular TLR activation,1
allantoic,4
soybean,2
LPB,1
sterols,2
involutes,1
oocyst,39
F.,3
endovascular,3
eggshell,1
DSS-,2
CKD-EPI,1
intracellular cAMP level,1
Pliability,1
Leguminosae,1
Tubuloreticular inclusions,1
intracellular NP using,1
NTD,3
Intramuscular PEDV,1
woven,1
airspace,4
non-seeding,1
intra-cellular,1
oro-tracheal,1
sperm-rich,1
Intracellular Pathogens,2
oligopeptide,1
tractus,1
low-molecular,1
Egg,3
BST,1
MeA,1
Tea,1
intravenous IgM immunoglobulin,1
tubulointerstitial,2
meningeal,1
intramyocardial,1
Pupillary Light,1
macromolecular,4
lipids,7
river,1
epididymal,2
ciliary,2
patella,1
tomatoes,2
DDE,1
speckle,3
saikosaponins,1
optic,5
intracellular hypochlorous acid levels,1
ileal,4
fluids,2
Technology,3
streptococci,2
intracellular host cell membrane,1
intra-molecular,1
brine,1
intracellular lectins,1
"intracellular lectins,",1
intracellular calcium (,1
tomography-guided,1
toilet material,1
Sublingual,1
valve-type,1
"intravenous high-dose methylprednisolone,",1
intravenous immunoglobulins and,1
beak,2
fibrinous,1
spine,4
Canavalia,1
intracerebroventricular,3
multiflower,1
condylar,2
intracellular virus trafficking,1
intracellular aggregates dependent,1
blister,1
intracellular cholesterol trafficking,2
fecal,5
edema,1
intra-tracheal,1
29th,1
fingers,1
autonomic,6
susceptibility-guided,1
Orotracheal,1
oolemma,1
Intracellular Lipid Homeostasis,1
intracellular cholesterol accumulation,1
Intracellular cholesterol accumulation,1
Lipid rafts,2
intravaginal,2
extra-cellular,5
peri-,1
medial,1
intracellular virus,4
turnip,3
Late-term,1
VW,1
vesicular stomatitis virus (,3
Caveolar,1
Meconium,1
intracerebraventricular,1
extracellular fluid,1
colostral,1
bile,1
salmonella,7
large-vessel,1
yolk,7
peroral,3
Polar,1
biomembrane,1
transdermal,1
splanchnic,1
variceal,1
intracellular cholesterol content,1
biventricular,2
eardrum,1
lipid vesicles and,1
intracellular pathogens as,1
lamellar,1
neuromuscular,1
triterpenoids,1
Triterpenoids,1
hyaline,2
PeV,1
enteral,7
ruminal,4
Ruminal,1
postpartum,3
prepartum,2
bulb,1
subcompartmental,1
intramammary,6
feeds,2
intracellular pathogens while,1
collagenous,2
vitreous,2
amniotic,2
intravenous virus application,1
intracellular organelle for,1
efferent,2
flagellum,1
trace-forward,1
subnanomolar/nanomolar,1
club-shaped surface projections,1
body,1
D9-D10,1
inflow,3
Vesicular,1
chondro-osseous,1
foot-pad,1
synapse-like,1
nonpolar,4
lipid membrane,1
immunonutrition,1
intracellular endolysosomes.,1
Lethal,1
sap,1
intramuscular SAdV-7 vaccination,1
subnanomolar,1
vesicular stomatitis virus (VSV)-based,1
i.d,1
tegument,4
antepartum,2
intracellular calcium in,1
cisterna,1
lipid membranes,2
intracellular SCoV particles,1
Liver Intravenous (i.v.,1
scleroderma,1
Dystrophic,1
nonequimolar,1
intracytoplasmic vesicles;,1
intracellular compartments like Golgi and endosomes.,1
neuritic,2
yellow,1
ventricular,1
skin oil,2
intrabronchial,2
organellar,2
saliva droplets,2
"intracellular calcium,",1
spherule structures,1
5â²,1
intrapulmonary,1
efferent AVPNs,1
intracellular HBV DNA,3
superficial,1
intracellular Mycobacterium bovis BCG,1
intragastric,3
iridovirus,3
Intracellular MDP uptake,1
intracellular poly(I:,1
intracellular poly(I:C).,1
intracellular virus sensors,1
low-nanomolar/high-picomolar,1
intracellular immune response,1
isoflurane,4
intracellular pathogens use,1
intracellular membranes,2
pinky,1
intracellular virus particles,4
stacks,1
small-molecular,1
diferuloylmethane,1
DEF201,3
Parkinson,1
subventricular zone,2
extracorporeal,2
faceseal,2
TSS,4
microcapillary,1
sulfate-induced,1
"intracellular pathogens,",1
monocrotaline,1
Myocardial,1
NL63-CoV/hACE2,1
intraventricular,1
intravenous C. albicans,1
intracellular cysteine residues,1
thrombocytopenic,1
Lungs,1
physeal,1
nuclear/nucleolar,1
stores,2
particle,2
extruded,1
cerebral,1
Intracellular Pathogens Due,1
swabbed,1
G-F,2
Ftt,1
Intracellular IFN-Î³,1
subventricular,1
splenial,1
extracellular HBV virions,1
midstage,1
Intracellular cAMP Sensor EPAC,1
Intracellular Cholesterol Transporter Chaperone Caveolin Complex Dengue virus (,1
extra salt-bridge chain,1
subretinal,1
droplets,3
pia,1
Proventricular,1
surfactant,1
torus,1
intracellular SGIV,1
eczema,1
epidermal,1
stratum,5
Gut Microbiome in,1
Pustular,1
Pollen,1
CNIC,1
recirculating,4
middle-root part,1
flavonoid,2
aerial,4
lipoviroparticle,1
tops,1
sputum specimens,2
creeping,1
ivf,1
vegetal,3
soapberry,1
intrarectal,1
near-term,1
ARDS-like,2
Profuse,1
jack beans,1
artery,3
caliber,2
intra-nasal,2
microbial-free,1
Cartilago,1
stereo-specific,1
bioguided,1
intracellular virions,3
BEV peplomers,1
weight/d,1
infecciones,2
Lamellar,1
calcareous,1
Placental,1
intramuscular H5 DNA (4 mg,1
fueron,3
intramedullary,1
thalamus,1
cereal,1
intracellular virus detection,1
intracellular macromolecular transport,1
recieves,1
paraventricular,1
irregular,1
intracellular pathogens with,1
taste,4
mineral,1
intracellular emtricitabine 5â-triphosphate half-life,1
intracellular ubiquitin conjugation,1
Calophyllum,1
hairless,1
receptacle,1
anaesthesia,1
alta,3
inlet,1
turgidity,1
trachview,1
eaten,1
