ORGANISM_SUBDIVISION,frequency
landmarks,1
body,734
frog palate,2
foot,111
knee,4
tract,95
neonatal,85
sputum,56
Melissa officinalis,2
tail,2
hand,240
marrow,3
stool,80
oral,433
lymphogranuloma,1
throat swab,28
fruits,28
intraoral,3
urinary tract,77
urinary,31
chest,65
sore throat,42
lethal,80
root,13
feces,199
faeces,109
Venereal,1
infants,24
gut,75
vegetable,5
beef,24
Oral,52
infant,60
chlamydial,1
PMWS,19
blood,24
cutaneous,31
cane toads,1
Nasopharyngeal,1
throat,11
swab,24
upper,99
respiratory,16
brown,2
oral lichen,1
urban-like,1
chinchilla,1
pulmonary,1
in-calf heifers,1
enteritis,4
barnacle geese,1
plasma,2
body fluids,33
hind limb,5
paravertebral,2
cryptococcal,11
bronchoscopy,10
F. graminearum,2
spiral,1
gastrointestinal,27
oral secretions,6
ciliary,11
leaves,8
cerebral,7
genital chlamydial,3
painless,1
swans,2
gastroesophageal,8
nursed,6
Feces,1
midwall,1
dysbiotic,1
beds,5
bloodstream,17
oral pharyngeal,1
cattle hoof,1
Vaginal Gel,1
saliva,8
footpad,2
barn,1
Pleural,1
royal,5
adulthood,3
feed,50
gut microbiota,41
lung,4
dromedary samples,1
milk,29
genital,2
reddish,1
profuse watery,2
lympho-plasmacytic,1
Gut Microbiotassay,1
bunk,2
on-farm,1
cercarial,2
Phyllanthus extract,1
calf,29
tegument,1
abdominal,32
stool samples,3
throat swabs,9
oronasal,1
vitreous samples,1
oral cavity,13
oropharyngeal,2
URT microbiota,1
shrub,1
bivalve,2
oropharyngeal swab,4
meat,7
oral swabs,10
carcass,6
suckling,13
smallholder,2
gonorrhoea,1
sows,1
cloaca,1
neonatal calve,1
fore,8
grapes,1
piglets,2
leaf,4
forehead,9
breast,5
palmar-plantar erythema,2
larval,2
arched,1
ano-genital,1
lethal watery,2
bronchoalveolar,1
levator,2
femoral,2
lamb,3
fungal,12
fimbria,1
tracts,1
virus-related,1
hindlimbs,2
spinal,3
fruit,3
cusia,1
precision-cut lung,1
soybean,5
fibrinous,6
litter,22
K.,4
frog ICU,1
upper airway,5
F.,1
hypothalamus,1
limb,9
anaesthesia,1
bald zones,1
bacterial-viral,3
bacterial/viral,1
maoto,8
atrial,1
1-day-old ducklings,1
urinary YKL-40/Cr,2
calf colisepticemia,1
venomous gland,1
semen,6
intratumoral,3
bull calves,6
vaginal,1
alimentary,3
Dioscorea,2
serum,13
splenic,2
grape,2
ducklings,1
cockroach,1
oral swab,4
newborns,5
sweet saponin,1
fluids,1
urinary microbiotas,1
hindlimb,15
tuberculous,2
quasispecies,4
nasal,4
lumbar,3
cinnamon bark,1
gut lumen,7
pasture,2
gosling,1
sharks,2
Astragali,1
bronchiseptica,4
nephric,1
longan,2
herbs,1
pork,6
slaughterhouse,1
boot,2
cloacal swab,3
barrier,11
homecare,2
peripheral,10
honeydew,1
physicians,1
hemolymph,4
cloacal samples,1
heifers,7
pericardial,2
Yupingfeng,1
gut microbiome,14
lymphocytic,5
watery,1
mouths,1
in-utero fetal,1
intracranial,1
foetal,1
broiler,7
breakfast,1
indigotica,2
powder,3
gluteal,1
hind leg,3
flank,5
anal swab,3
faecal,2
bulbous,2
eggs,1
hind brains,1
flavonoid,3
stomach blood,1
trigeminal ganglia,2
profuse,3
renal,1
palm,8
K434,1
virgin heifers,1
hind paw,1
ferret,2
chicks,1
Miq,1
aerial,2
sausage,1
bronchial,2
1:8000,1
Urethral,1
urethral,6
Body,2
urinary tracts,1
bursal lumen,1
homogenate,3
beetle,2
flowers,1
infant gut,1
cattle,2
stools,1
larval LC(50,1
filoviral,3
Prebreeding BW,1
alfalfa,3
Pharyngeal,1
Malignancies Vaccines,1
feeder,1
ventral,2
houbara,2
cochlear,1
utero,7
cystic,1
abdomen,3
Fasciola hepatica,3
solid,1
ipsilateral,2
aphid gut,2
bursal,1
sewage,7
liver,1
otitis,5
cytoplasmic,5
ciliary body,2
conduit,3
Milk,1
hyperphagia,1
henipaviral,3
DIO,1
DIO rats,1
inoculum,3
non-gastrointestinal,1
gut microbial,1
Cytoplasmic,1
anaconda,3
brainstem,1
suckling piglets,1
midgut,1
hemispheres,1
Hamsters,1
intracerebral,1
urine,2
embryonated egg-grown,1
biennial,1
forelimb,1
cerebral blood,1
Melissa,1
Hand,2
M.,2
UTI [,1
leghorn,1
sera,2
pork meat,1
pea,1
calf weaner,2
copulatory,2
body fluid,1
microbiome,4
body glucose,1
tract microbiome,1
telemicroscopy,1
scala,1
line-associated bloodstream,1
retroperitoneal,2
gut flora,1
craniovertebral,1
cucurbits,1
brain,1
immigrants,1
peritonsillar,2
calf gastrointestinal,1
tuna,1
Tuna pyloric,1
greenish,1
pens,1
colostral,3
bud,1
circular,1
hay,1
hiperreactividad bronquial,1
aortic,1
sweet,1
kittens,3
head,1
trout,1
flower,3
flanks,2
syncytial,2
ventilator,1
goat kids,1
Faecal,1
river,2
cows,3
sucklings,1
peripartum,1
suckling neonate,2
mineral,3
Branta,1
toothed,1
tooth,2
non-viral,3
spill-over,1
lichenoid,1
galangal,1
GI,1
Heifers,2
watery feces,1
IBD,1
neonate,4
verrucosum,1
secteur,1
premiÃ¨re,2
trace-mineral,2
genital tracts,3
frotis sanguÃ­neo,1
gota,1
mucous,1
cirrus,4
costo,1
milk feeder,1
urinary epithelium,1
fish,3
wingspan,1
bloat,1
seafood,5
hemisphere,5
Oral swabs,1
flank sites,1
gilts,1
pup,2
blood-tinged mucus,1
100-fold-less,1
babies,1
rumen,1
rumens,1
cryptosporidia,1
interspaces,3
calf virus,1
bronchointerstitial,2
gut fluid,1
paw,1
serous,1
genital tract,1
HSe,1
g/kg body,2
bull calf,1
1965,1
suis,2
calf intestine,1
Chenopodium quinoa,2
calf coronavirus,1
orofacial,1
cheeks,1
Vaginal,2
stool specimens,1
Thiry-Vella,1
calf stools,2
cecitis lesions,1
ulcerations,1
legs,6
Faeces,3
calf testis,1
soil,1
hay stubble,1
lacteal secretions,1
lacteal,2
ppd,1
canals,1
suckling calves,3
aphid,1
18-day-old,1
oral electrolyte,1
lethal enteritis,2
personas,2
lateroposterior zone,1
non-respiratory tract,1
customers,1
Feces samples,1
Saliva,1
free-range,1
lateral,4
body secretions,2
feaces,1
PMWS lesions,1
terrestris,1
frotis farÃ­ngeo,1
petechial,1
ser,1
lambs,1
corn seed,1
thrombocytopenic cats,1
bicolor,1
cavity,1
Rheum emodi,1
HCW,2
stillborns,1
influenza network,1
simplex,1
crop,1
oral ulcerations,1
heifers calving,1
cutaneous granulomas,1
neonatal calves,1
diana,1
rockbream iridovirus,1
cervicothoracic,1
high-producing dairy,1
rostrum,1
leaf extracts,2
bark extracts,1
vitreous,1
fatteners,3
breastmilk,1
Technology,2
calf feeder,1
intestinal,1
pharyngeal,1
calve,1
subgenera,1
intramammarily,1
calf scours,5
skin,1
umbrella,1
herd,1
pasty,1
midgut lumen,1
slaughter,2
Rumen digesta,1
pcv,1
gut microbes,2
ecosystems,1
AMC/DCBA,1
low-weight calves,1
cranial,2
frog,1
renforcer,1
networks,1
buccal,4
cerebrospinal,1
gut samples,1
watery faecal,1
Viral intestinal,1
carrion,1
reinnervating,1
bullous,1
berry,1
serviceberry fruits,1
Peripheral,1
calf enteritis,1
calf thymuses,1
grouper nervous,1
walnut buds,1
colostrum,1
oral biofilm,1
Nachrichten,1
collateral,1
urinary catheters,3
calf thymus,1
cecal,1
broilers,1
nervous,1
peafowl serum,1
veal,2
underfloor,1
gustatory,1
Egg yolk,1
caecal,1
faeces samples,1
brown-egg,1
brownish,1
ear,1
bull,4
Oral Cholera,1
macular,1
sub-acute,1
herb,1
oral fluids,2
papular,1
