ORGANISM_SUBSTANCE,frequency
Enfuvirtide,6
Blood,237
blood,1896
serum,1634
peripheral blood,184
serum SARS-Coronavirus IgG,1
serum SARS-CoV,3
cytoplasmic,525
peripheral blood mononuclear cells,124
cytoplasmic tail,86
cytoplasm,540
polyphenols,16
extracts,202
tea,5
teas,1
plasma,793
cell-omic,1
serum SARS-coronavirus,1
sera,953
NHPs,13
sputum,159
peripheral blood monocytes,7
serum specimens,40
intravenous immunoglobulin,60
ewe,1
U36,1
staphylococci,11
Serum samples,56
neonatal calf,62
Arctium lappa,1
milk,404
Vaccinium sp.,1
serum immunoglobulin,10
peripheral blood mononuclear cell,10
FHV-specific 5-bromouridine 5'-triphosphate,1
banaba,1
Beef Calf Herds,1
plasma C-reactive,1
lavage fluid,2
Serum Molecular,1
oral PV,1
lethal dose(50,1
serum samples,257
serum TG,1
Licorice,12
licorice,44
cytosol,71
peripheral nervous,4
BCG vaccine,9
Saliva,11
saliva,17
Serum procalcitonin,6
MVA-S,3
Plasma,82
octapeptide,6
Ureaplasma parvum,3
yeast Pat1p,1
CPMV,11
blood samples,72
Ser,4
oil,165
corn oil,3
blood donors,57
urine,264
cytoplasmic nuclease,1
Liquorice,3
liquorice,18
cytosolic,5
serum acute-phase proteins,1
serum APPs,3
serum antimitochondrial antibodies,1
milk pathogenic-related,1
feces,43
fetal bovine serum,16
plasma proteome1,1
plasma membrane,375
basolateral,11
Allium oreoprasum,1
Blood p27,1
serum immunoglobulin G,11
PV,6
stool extracts,3
cytoplasmic droplet,1
antiserum,93
M2e-MAP,1
Freunds,3
plasma glucose,20
LBM,2
IPNV,5
Peripheral blood,12
Serum,157
VLP,40
plasma membrane-targeting signal,1
serum amyloid A,40
Plasma Reagin,1
Serum 25-Hydroxyvitamin D,2
serum 25-hydroxyvitamin D,4
OspA,5
Cytoplasmic,25
oral vaccine,21
Blood samples,33
blood CCL2,1
blood RSV,1
plasma samples,66
P5,9
V-antigens,2
M252,1
rumen,19
peripheral pr,1
serum C-reactive protein,6
serum CRP,16
DEN,5
plasma membraneâwe,1
cytoplasmic extracts,4
cytoplasmic Ca(2,2
cytoplasmic vesicular,1
cytoplasmic calcium,2
woodchuck,4
GLA-SE,1
peripheral membrane,3
peripheral blood leukocytes,13
oral amoxicillin,2
plasma total-,1
chicks,81
intravenously,3
Stria,1
MSCE,1
MSCW,1
ethanolic,2
serum albumin,42
fetal calf,3
broad-spectrum âheterosubtypicâ,1
peripheral blood stem cell,3
blood plasma,17
anti-microbial,3
NIPPV,9
wood mouse,1
extruded,2
lung aspirate,1
serum antibodies,63
i.o,3
Milk,32
milk protein Î±-casein,1
late-term,3
pregnancies,8
non-vesicular ER,1
powder,6
blood serum,12
thalami,1
Pigs,19
plasma cytokine,4
peripheral blood NK cells,1
milk replacer,78
Feces,13
Organelles,6
salmonella,7
serum lipid,4
spleen virus,2
wood,13
mesencephalon,3
DEF201,19
â1 PRF,3
purple coneflower,1
intracellular caspase-6,1
Granules,16
lactobacilli,5
sphingolipid-enriched,2
serum urate,1
ALT,20
Terpenoids,2
lung water,1
cane rat,1
Colostrum,30
colostrum,389
milk immunoglobulins,1
veal calf,18
M-MLV,1
ovate,1
juicy,1
blood specimens,21
calf,142
vitroclusters,1
Lipids,8
lipids,41
Cytoplasmic Tail,14
Serum albumin,5
Chickens,3
chickens intravenously,1
stool specimens,5
urine specimens,5
sputa,8
oral droplets,1
vaginal IgG,1
serum virus,4
Peripheral blood mononuclear cells,12
serum antibody,21
serum IgG,73
philippinarum,4
alum,17
Pathogens,1
PCV genome,3
structural-material,1
Extracts Act,1
Plasma samples,7
blood cells(8,1
