TISSUE,frequency
tissue samples,59
interstitial,17
broncho-alveolar lavage,1
tube,101
lung tissues,56
smooth spherical,1
stem structures,1
tea,4
teas,1
green tea,5
bronchoalveolar lavage fluid,61
extra stem,3
nasopharyngeal secretions,9
immune organ,1
airway mucus layer,1
smooth,15
flexor sheath,1
tissue,1229
tangential,4
tissues,827
blastocyst,2
pulmonary alveolar epithelium,1
tail,5
non-lymphatic,1
hepatoma/non-hepatoma liver tissues,1
articular cartilage,3
cartilage,21
Lung epithelium,1
lung epithelium,6
barrier,68
epithelium,94
airway epithelium,36
tracheal epithelium,14
species barrier,4
cuprizone,7
eosinophilic infiltrates,1
tracheobronchial aspirates,1
extrapulmonary sites,3
tracheobronchial lavage,1
eustachian tube,9
fat tissue,1
inner,36
synovium,3
fat,81
articular tissue,1
articular tissues,1
lymphoid tissues,77
pulmonary epithelium,4
mucosal surface,5
nasal turbinates,16
FMD viruses,2
skeletal muscle,43
tibialis anterior,2
needle,10
nodes,64
Cancer Stem-Like,1
alveolar,32
bronchoalveolar lavage samples,5
seminiferous tubules,1
adult seminiferous epithelial cells,1
cochlear lateral wall,1
tissue homogenates,5
muscle tissues,2
Reticulovesicular Network,1
cryofixed,1
Haemolymphatic Tissues,1
haemolymphatic tissues,3
lymphatic tissue,2
lymphoid organ,4
bronchioalveolar lavage fluid,1
tracheal aspirates,10
yellowing veins,1
withered leaves,1
lung tissue,136
perivascular,15
brain parenchyma,5
plaques,76
normal tissues,19
tumor tissues,8
thyroid tissue,1
nasal epithelium,26
smooth muscle,11
embryonic tissues,1
bronchoalveolar lavage,59
root explants,1
callus,1
tumor neovascular endothelium,1
vascular endothelium,13
ciliated epithelium,11
Airway Epithelium,2
CF airway disease,3
CF airway epithelium,1
airway surface epithelial cells,1
CF human airways,1
connective tissue,16
walls,15
sewage,3
tuber,2
stele,1
xylem,3
endothelium,39
extract,88
bronchus-associated lymphoid tissue,4
placental,7
vascular tissues,3
Alveolar epithelium,1
alveolar epithelium,21
alveolar walls,6
Tissue proviral,1
nasopharyngeal swab samples,4
bronchial epithelium,12
ocular conjunctiva,2
Bronchoalveolar Lavage,5
BAL samples,21
dermal,10
punch biopsy material,1
nasopharyngeal swab,39
endothelial tube,1
Extrapulmonary tissue,1
extrapulmonary tissue,1
PAMs,55
sheath,1
nasopharyngeal swabs,80
shell,18
normal tissue,11
brain tissues,23
blood-brain barrier,1
elastic fibers,1
capillary,59
graft,76
Embryonic inner ears,1
inner ears,4
Lung tissue,6
endothelial layer,1
endothelial barrier,1
fibrillar plaques,1
sternal bone marrow cells,1
soft tissues,3
alveolar surface,1
solid organ,13
ampullae,1
Reissner,1
seed coat extract,1
seed coat water extract,1
seed coat extracts,1
kidney tissues,13
tracheal tissues,8
bone,149
adipose tissue,14
alveolar infiltrates,3
alveolar capillary,2
multiple connective tissue,1
Cartilage,3
lymphoid organs,13
host tissues,20
thymus tissues,1
mammary epithelium,1
lymphoplasmacytic interstitial,1
iron-positive,1
brain tissue,61
SM,5
tissue sections,23
solid microneedle patches,1
epithelia,40
microvascular,6
Microvascular,3
diseased tissues,8
mucosal tissues,26
smooth single-membrane tubules,1
tubular single-membrane structures,1
multilamellar structures,1
tissue virus,3
host tissue,6
nasal aspirates,4
brain tissue samples,1
tissue sites,1
tissue specimens,7
tissue proviral,1
vesicular structures,6
Tissue,49
fibrous connective tissues,1
bronchial alveolar lavage fluid,1
adipose,5
uninvolved skin,4
seeds,1
pulmonary infiltrates,30
ocular surface,5
ocular tissue,3
nasopharyngeal swab specimens,7
parenchymal,13
conjunctival swabs,8
Airway Epithelia Alcohol,1
Airway epithelial,1
neural tissues,4
myocardium,17
myocardium specimens,1
Contact network,1
Lung Tissue,3
breast milk,11
droplet,52
bronchiolar lavage,1
intestinal tissue,15
one-micron,2
nasogastric tube,2
SupraÂ­molecular layers,1
Capillary,7
B samples,1
atherosclerotic walls,1
aortic wall,2
organ tissue,2
network,19
C/D recombinants,1
cardiac tissue,8
peri-infarct,1
epi,1
zone,2
placental CD163(+,1
egg yolk antibodies,3
barrier precautions/personal,1
bud,10
Tonsillar Tissues,1
tonsillar tissues,2
tonsil tissues,1
palatine tonsils,5
non-lymphoid tissues,5
FM,2
CNS neutrophil,1
multiple tissues,11
Undifferentiated Connective Tissue,1
secretory bronchiolar epithelial cells,1
TBs,1
vascular network,2
sub-epithelial smooth muscle layer,1
E12.5 mesenchyme-free,1
epithelial buds,1
mesenchyme,1
Cardiac Exon,1
non-skeletal muscle tissues,1
biofilm,27
RVP,30
Cardiac Allograft,1
Allograft,1
cardiac allograft,1
Renal Tissue,1
renal tissues,2
renal tissue,3
alveolar septa,8
Tubular structures,2
bronchoalveolar lavage fluids,8
oat tissue homogenate,1
extra-mucosal tissues,1
Intracellular fat,1
Eustachian tube,6
epithelium-rich tissues,1
biopsy tissue,1
epithelial,32
ectodermal organ,1
ectodermal organs,1
mucosal sites,11
alveolar epithelial,5
cardiac tissues,2
peribronchovascular,5
liver tissue,28
nasal-associated lymphoid tissue,2
CND,1
normal colorectal mucosa specimens,1
nontumorous mucosa tissues,1
histodifferentiation,1
alveolar epithelial surface,2
alveolar immune,1
inner membrane,8
Macular,2
macular,14
ciliated ependymal,1
ependymal cilia,1
ependymal ciliary,1
NP swabs,2
NP samples,4
bloodâbrain barrier,33
brain microvasculature,3
palatal epithelium,2
fetal tissue,3
muscular tissues,1
sub-epithelial,1
bronchial epithelia,3
renal tubules,6
grafts,27
subcutaneous tissue,5
outermost skin barrier,1
cumulus oophorus,1
peel,2
CF Framework,1
